id,scene,lum,white,black,flags,secs,traits
88,lattice,0.03313144744008715,0.0,0.6140920138888889,,23,"{""Token"": ""#88 of 100"", ""Family"": ""Lattice"", ""Temperament"": ""restless"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""vaporwv"", ""Channel"": ""speed"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
89,collision,0.15748390522875816,0.007131944444444444,0.2048142361111111,,15,"{""Token"": ""#89 of 100"", ""Family"": ""Collision"", ""Temperament"": ""contemplative"", ""Signature"": ""chase"", ""Variant"": ""Grazing flyby (fast)"", ""Palette"": ""nebula"", ""Channel"": ""speed"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
90,milky-way,0.22323821486928105,0.0007586805555555555,0.14122395833333334,,13,"{""Token"": ""#90 of 100"", ""Family"": ""Milky Way"", ""Temperament"": ""restless"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""ember"", ""Channel"": ""mass"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
91,coma,0.0604996255446623,9.722222222222222e-05,0.43119444444444444,,11,"{""Token"": ""#91 of 100"", ""Family"": ""Coma Cluster"", ""Temperament"": ""patient"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""ember"", ""Channel"": ""mass"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
92,orrery,0.02015031998910675,0.0,0.9562986111111111,,13,"{""Token"": ""#92 of 100"", ""Family"": ""Orrery"", ""Temperament"": ""patient"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""mono"", ""Channel"": ""kind"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
93,sombrero,0.12563838507625272,0.010859375,0.3685815972222222,,14,"{""Token"": ""#93 of 100"", ""Family"": ""Sombrero"", ""Temperament"": ""contemplative"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""sunset"", ""Channel"": ""density"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
94,quiet-drift,0.43863265250544664,0.0028194444444444443,0.00014236111111111112,,13,"{""Token"": ""#94 of 100"", ""Family"": ""Quiet Drift"", ""Temperament"": ""restless"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""aurora"", ""Channel"": ""speed"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
95,dust-storm,0.07832480936819172,0.0018559027777777777,0.45702777777777776,,13,"{""Token"": ""#95 of 100"", ""Family"": ""Dust Storm"", ""Temperament"": ""restless"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""aurora"", ""Channel"": ""density"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
96,collision,0.22549706563180827,0.013461805555555555,0.10275,,15,"{""Token"": ""#96 of 100"", ""Family"": ""Collision"", ""Temperament"": ""patient"", ""Signature"": ""chase"", ""Variant"": ""Head-on (slow merger)"", ""Palette"": ""sunset"", ""Channel"": ""speed"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
97,quiet-drift,0.42915030637254903,0.002895833333333333,0.0018645833333333333,,13,"{""Token"": ""#97 of 100"", ""Family"": ""Quiet Drift"", ""Temperament"": ""contemplative"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""sunset"", ""Channel"": ""speed"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
98,antennae,0.26518587962962964,0.031086805555555555,0.10555555555555556,,14,"{""Token"": ""#98 of 100"", ""Family"": ""Antennae"", ""Temperament"": ""patient"", ""Signature"": ""chase"", ""Variant"": ""\u2014"", ""Palette"": ""sunset"", ""Channel"": ""speed"", ""Exposure"": ""short"", ""Spin"": ""retrograde"", ""Doppler"": ""off""}"
99,virgo-m87,0.1814846609477124,0.007793402777777778,0.19594618055555554,,11,"{""Token"": ""#99 of 100"", ""Family"": ""Virgo \u00b7 M87"", ""Temperament"": ""restless"", ""Signature"": ""vertigo"", ""Variant"": ""\u2014"", ""Palette"": ""sunset"", ""Channel"": ""speed"", ""Exposure"": ""long"", ""Spin"": ""none"", ""Doppler"": ""off""}"
100,coma,0.09100476579520697,0.0001371527777777778,0.33753645833333334,,6,"{""Token"": ""#100 of 100"", ""Family"": ""Coma Cluster"", ""Temperament"": ""patient"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""aurora"", ""Channel"": ""mass"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
